Magic Town,Latitude,Longitud,Destination Id
Aculco,20.089649,-99.759271,1904726
Alamos,27.051123,-108.876941,863503
Amealco,20.196826,-100.070282,851540
Aquismon,21.614999,-99.084884,857225
Arteaga,25.341357,-100.642369,830058
Atlixco,18.908917,-98.441439,846625
Bacalar,18.809763,-88.323114,848101
Batopilas,26.94545,-107.693295,837067
Bustamante,26.547978,-100.508675,826278
Cadereyta de Montes,20.69994,-99.816521,10404699
Calvillo,21.823088,-102.753641,838479
Candela,26.852447,-100.799251,11114551
Capulálpam de Méndez,17.299999,-96.449997,10414096
Nuevo Casas Grandes,30.532839,-107.729062,860236
Tuxtla Gutierrez,16.747472,-93.134923,842425
Chignahuapan,19.821027,-98.134748,843578
Coatepec,19.462683,-96.955247,859789
Comala,19.322123,-103.7549,864113
Comitan de Dominguez,16.296884,-92.178974,835223
Comonfort,20.741269,-100.791119,11116080
Rincon de Guayabitos,21.025307,-105.264711,1640005
Cosala,24.415488,-106.686316,846670
Coscomatepec,19.073321,-97.046808,10414296
Creel,27.758934,-107.652393,843399
Cuatro Ciénegas,26.989103,-102.065132,10398391
Cuetzalan del Progreso,20.027978,-97.500614,826357
Cuitzeo,19.980592,-101.111823,11115632
San Miguel de Allende,20.914464,-100.745394,1635366
El Oro de Hidalgo,19.80238,-100.130599,851748
Rosario,23.056199,-105.805217,827548
El Fuerte,26.408467,-108.62523,859351
Guadalupe,22.717236,-102.486971,823872
Guerrero,28.097393,-100.39381,11115106
Huamantla,19.34868,-97.918436,855062
Huasca De Ocampo,20.189397,-98.543367,841603
Huauchinango,20.166214,-98.051734,835041
Huautla de Jiménez,18.144584,-96.799977,11115923
Huichapan,20.357076,-99.679908,828062
Isla Holbox,21.544478,-87.193352,1639987
Ixtapan de la Sal,18.857658,-99.673903,863497
Izamal,20.915678,-88.986805,854004
Jala,21.110813,-104.433134,833628
Jalpan de Serra,21.214439,-99.47026,1697743
Jerez de Garcia Salinas,22.683578,-103.051413,844731
Jiquilpan de Juárez,19.983299,-102.717003,10391401
Lagos de Moreno,21.493999,-101.879654,829596
Linares,24.851768,-99.529228,852921
Loreto,25.93742,-111.299223,862448
Magdalena de Kino,30.639071,-110.965897,830646
Malinalco,18.881918,-99.485642,825795
Mapimi,26.145968,-104.131323,861176
Mascota,20.523201,-104.787941,861732
Mazamitla,19.876009,-103.030658,850275
Mazunte,15.666838,-96.555641,1694947
Melchor Múzquiz,27.883301,-101.516998,12472654
Metepec,19.260519,-99.594411,852317
Mier,26.415104,-99.256875,11115556
Mineral de Angangueo,19.629229,-100.298527,832906
Pozos,21.217134,-100.497608,861638
Mineral del Chico,20.223041,-98.753556,11116012
Mocorito,25.480078,-107.918959,1909709
Nombre de Dios,23.813862,-104.211113,11114651
Nochistlan,21.364104,-102.849363,834107
Orizaba,18.849121,-97.105225,840808
Pahuatlan del Valle,20.283882,-98.142444,852163
Palenque,17.54077,-92.030554,862706
Palizada,18.187847,-92.100489,844082
Papantla de Olarte,20.413773,-97.284073,841209
Parras de la Fuente,25.439405,-102.16629,827060
Patzcuaro,19.507977,-101.606251,843470
Pinos,22.295538,-101.57517,834975
Asientos,22.239553,-102.091926,849911
Real de Catorce,23.645498,-101.056515,830922
Mineral del Monte,20.152454,-98.689566,847305
Salvatierra,20.207558,-100.915138,845001
San Cristobal de las Casas,16.73703,-92.637621,852279
San Joaquin,20.91786,-99.563527,855775
San Jose de Gracia,22.137512,-102.438431,837708
San Martin de las Pirámides,19.719771,-98.832195,10413916
San Pablo Villa de Mitla,16.922276,-96.345277,823818
Cholula,19.057372,-98.30725,829640
Tlaquepaque,20.584131,-103.351232,839781
San Pedro y San Pablo Teposcolula,17.507874,-97.506412,11115168
San Sebastian del Oeste,20.852458,-104.826126,1780048
Bernal,20.734566,-99.924155,835511
Santa Clara del Cobre,19.400503,-101.64521,1776677
Santiago,25.417464,-100.184527,863736
Sayulita,20.856326,-105.436685,862952
Sombrerete,23.621231,-103.635611,855285
Tacambaro,19.254835,-101.452016,829733
Talpa de Allende,20.299445,-104.953484,861172
Tapalpa,19.923089,-103.764858,846847
Tacotalpa,17.53505,-92.725215,848679
Taxco,18.555295,-99.607772,829603
Tecate,32.543756,-116.627083,848174
Tecozautla,20.543643,-99.664055,830588
Tepotzotlan,19.725235,-99.306194,847863
Tepoztlan,18.985519,-99.100449,841212
Tequila,21.112496,-103.780968,858542
Tequisquiapan,20.551172,-99.952563,851801
Teúl de González Ortega,21.363804,-103.453008,11114421
Tlatlauquitepec,19.846728,-97.496201,859181
Tlayacapan,18.954028,-98.975033,1901407
Tlalpujahua,19.779887,-100.206583,855704
Tlaxco,19.620132,-98.177024,11115911
Todos Santos,23.483512,-110.182375,1901049
Tula,22.939893,-99.776262,841157
Tulum,20.210175,-87.462502,859870
Tzintzuntzan,19.612785,-101.583968,849815
Valladolid,20.638388,-88.108425,846715
Valle de Bravo,19.17777,-100.121953,836070
Viesca,25.221865,-102.924967,861671
Villa del Carbon,19.721295,-99.478325,863547
Veracruz,19.193975,-96.135521,860515
Xicotepec,20.326619,-97.902624,843657
Xilitla,21.386644,-98.9812,847236
Yuriria,20.183209,-101.225477,850818
Zacatlán,19.964917,-97.999007,831864
Zimapan,20.738095,-99.382114,832516
Zozocolco de Hidalgo,20.136328,-97.554787,11116120
